   code  rodata    data     bss |   flash     ram | package
------------------------------- | --------------- | -------
   4483    1096       2      10 |    5581      12 | (unknown)
      0       0       0    4096 |       0    4096 | C stack
    198       0       0       0 |     198       0 | Go interface method
      0     478       0       0 |     478       0 | Go reflect data
     66       0       0       0 |      66       0 | device/esp
     13       0       0       0 |      13       0 | errors
   1329       0       0      24 |    1329      24 | github.com/bxparks/AceButtonGo/button
    588       0       0       0 |     588       0 | github.com/bxparks/AceSegmentGo/tm1637
    860      18     128       0 |    1006     128 | github.com/bxparks/AceSegmentGo/writer
    465       0       0       0 |     465       0 | github.com/bxparks/AceTimeClockGo/ds3231
   6249     149       8       0 |    6406       8 | github.com/bxparks/AceTimeGo/acetime
    205       0       0       0 |     205       0 | github.com/bxparks/AceTimeGo/strbuild
      0    8989       0       0 |    8989       0 | github.com/bxparks/AceTimeGo/zonedb
    163       0       0       0 |     163       0 | github.com/bxparks/AceTimeGo/zoneinfo
     57       0       0       0 |      57       0 | internal/bytealg
    133       2       0       0 |     135       0 | internal/itoa
    362      24       0       8 |     386       8 | internal/task
    601       0       0       0 |     601       0 | machine
   3036     154    5250     168 |    8440    5418 | main
   2623     622       0       0 |    3245       0 | reflect
   3765     172       0      66 |    3937      66 | runtime
     78       0       0       0 |      78       0 | runtime/interrupt
    141       0       0       0 |     141       0 | runtime/volatile
    453     108       0       0 |     561       0 | strings
    142      38       0       0 |     180       0 | sync
     23       6       0       0 |      29       0 | syscall
  11892     587      64      76 |   12543     140 | time
   1020      32       8       0 |    1060       8 | tinygo.org/x/drivers/i2csoft
------------------------------- | --------------- | -------
  38945   12475    5460    4448 |   56880    9908 | total
